name
Apple iPad mini MF432CH/A 7.9英寸平板电脑 （16G WiFi版）深空灰定制版
华为 MediaPad 7Vogue S7-601c（8G) 7英寸通话平板电脑-电信版
昂达（ONDA） V975m四核 2G主频最强A9四核 八核GPU 2G内存 16G 2048*1536视网膜屏 500万摄像头 ONDA ROM 白
昂达（ONDA） V975四核 （9.7英寸 A31四核八显 32G 2048*1536视网膜屏 前后双置高清摄像头 8.3mm超薄）白色
华为（HUAWEI） 荣耀X1 7英寸（月光银）3G通话平板 WCDMA/GSM
酷比魔方（CUBE） TALK7X四核 7.0英寸平板电脑（MTK8382 IPS全视角屏 3G通话 1G/8G 双卡双待）前白后白
惠普（HP） Slate 7 3G通话平板（双卡双待7英寸  四核  IPS 超清炫屏 ）
酷比魔方（ACUBE) TALK97 9.7英寸平板电脑（MTK8382 IPS大猩猩屏 3G通话 1G/8G 后置800万）前黑后灰
三星（SAMSUNG） GALAXY NotePro P901 12.2寸平板电脑 （双四核1.9+1.3GHz 32G 黑色 3G通话 S-Pen笔）
宏碁（acer） P3-131-21292G06as 11.6英寸变形触控本 （奔腾2129Y 2G 60GSSD Win8 IPS技术 触控屏）
