Age,Education Level,Gender
23,Master's Degree,Female
37,Some College,Male
28,Bachelor's Degree,Female
52,Doctorate,Male
29,Bachelor's Degree,Male
48,Master's Degree,Male
39,Bachelor's Degree,Male
29,Bachelor's Degree,Female
26,Master's Degree,Male
25,Master's Degree,Male
34,Some College,Male
28,Bachelor's Degree,Male
45,Some College,Female
30,Doctorate,Male
27,Master's Degree,Male
22,Bachelor's Degree,Female
29,Bachelor's Degree,Female
44,Master's Degree,Male
35,Master's Degree,Male
35,Master's Degree,Female
24,Bachelor's Degree,Male
24,Bachelor's Degree,Male
26,Master's Degree,Male
28,Some College,Male
35,Doctorate,Female
34,Master's Degree,Male
34,Bachelor's Degree,Male
29,Bachelor's Degree,Male
21,Some College,Male
30,Bachelor's Degree,Male
38,Some College,Male
30,Bachelor's Degree,Female
41,Post-Doc,Male
36,Bachelor's Degree,Male
21,Bachelor's Degree,Male
25,Some College,Male
25,Master's Degree,Female
46,Master's Degree,Female
25,Master's Degree,Male
36,Grade School,Male
34,Master's Degree,Female
23,Bachelor's Degree,Male
39,Bachelor's Degree,Male
35,Bachelor's Degree,Male
28,Master's Degree,Male
28,Master's Degree,Female
55,Some College,Female
23,Bachelor's Degree,Male
46,Associate's Degree,Female
27,Some College,Male
25,Associate's Degree,Male
37,Bachelor's Degree,Male
41,Some College,Male
35,Bachelor's Degree,Male
31,Master's Degree,Male
34,Bachelor's Degree,Male
39,Bachelor's Degree,Male
44,Bachelor's Degree,Male
26,Bachelor's Degree,Male
47,Master's Degree,Male
42,Bachelor's Degree,Male
46,Bachelor's Degree,Male
47,Bachelor's Degree,Male
35,Master's Degree,Male
41,Bachelor's Degree,Male
33,Grade School,Male
25,High School,Male
34,Bachelor's Degree,Male
48,Associate's Degree,Male
26,Bachelor's Degree,Male
49,Bachelor's Degree,Male
40,Bachelor's Degree,Male
36,Bachelor's Degree,Male
32,Master's Degree,Male
49,Doctorate,Male
29,Some College,Male
33,Master's Degree,Male
36,Doctorate,Male
27,Master's Degree,Male
41,Bachelor's Degree,Male
32,Master's Degree,Male
32,Bachelor's Degree,Male
36,Associate's Degree,Male
33,Bachelor's Degree,Male
27,Bachelor's Degree,Male
40,Master's Degree,Male
33,Bachelor's Degree,Male
54,Master's Degree,Female
38,Master's Degree,Male
34,Associate's Degree,Female
44,Some College,Male
37,Master's Degree,Female
33,Bachelor's Degree,Male
37,Bachelor's Degree,Male
39,Bachelor's Degree,Male
31,Bachelor's Degree,Female
30,Master's Degree,Male
27,Some College,Male
40,Master's Degree,Male
43,Bachelor's Degree,Male
36,Master's Degree,Male
37,Master's Degree,Male
37,Bachelor's Degree,Male
32,Bachelor's Degree,Female
38,Bachelor's Degree,Male
41,Master's Degree,Male
38,Bachelor's Degree,Male
43,Bachelor's Degree,Male
42,Bachelor's Degree,Male
37,Doctorate,Male
34,Bachelor's Degree,Male
37,Bachelor's Degree,Female
23,Bachelor's Degree,Male
42,Master's Degree,Male
39,Master's Degree,Female
23,Bachelor's Degree,Male
36,Some College,Male
27,Bachelor's Degree,Female
31,Bachelor's Degree,Male
29,Bachelor's Degree,Male
37,Bachelor's Degree,Male
25,Grade School,Male
27,Bachelor's Degree,Female
29,Bachelor's Degree,Male
33,Bachelor's Degree,Male
34,Bachelor's Degree,Male
34,Master's Degree,Male
33,Bachelor's Degree,Male
22,Master's Degree,Female
36,Bachelor's Degree,Male
38,Post-Doc,Female
26,Master's Degree,Female
34,Doctorate,Female
38,Bachelor's Degree,Female
25,Bachelor's Degree,Male
37,Master's Degree,Male
37,Bachelor's Degree,Male
33,Bachelor's Degree,Male
34,Bachelor's Degree,Male
32,Master's Degree,Male
34,Bachelor's Degree,Male
50,Some College,Female
34,Master's Degree,Female
45,Bachelor's Degree,Male
34,Bachelor's Degree,Male
38,Bachelor's Degree,Male
33,Bachelor's Degree,Female
35,Bachelor's Degree,Male
31,Doctorate,Female
33,Master's Degree,Male
41,Associate's Degree,Male
35,Master's Degree,Female
44,Master's Degree,Male
29,Some College,Male
37,High School,Male
37,Bachelor's Degree,Male
34,Some College,Male
41,Bachelor's Degree,Male
36,Bachelor's Degree,Female
26,Bachelor's Degree,Female
29,Bachelor's Degree,Male
30,Doctorate,Male
40,Bachelor's Degree,Male
29,Doctorate,Male
34,Some College,Male
33,Master's Degree,Female
22,Associate's Degree,Male
30,Doctorate,Male
32,Associate's Degree,Male
29,Master's Degree,Male
42,Bachelor's Degree,Female
43,Bachelor's Degree,Male
41,Doctorate,Male
41,Doctorate,Male
25,Bachelor's Degree,Male
38,Doctorate,Male
28,Master's Degree,Male
39,Bachelor's Degree,Male
41,Bachelor's Degree,Female
35,Master's Degree,Male
29,Bachelor's Degree,Male
30,Grade School,Male
34,Bachelor's Degree,Male
37,Doctorate,Male
36,Bachelor's Degree,Male
28,Master's Degree,Male
44,Doctorate,Male
24,Trade School,Male
23,Bachelor's Degree,Male
31,Master's Degree,Male
21,Bachelor's Degree,Male
40,Doctorate,Male
31,Master's Degree,Male
52,Post-Doc,Male
26,Doctorate,Male
33,Master's Degree,Male
23,Bachelor's Degree,Male
32,Master's Degree,Female
24,Bachelor's Degree,Male
26,Master's Degree,Male
NULL,Bachelor's Degree,Male
54,Doctorate,Male
39,Bachelor's Degree,Female
27,Master's Degree,Male
26,Some College,Female
45,Bachelor's Degree,Male
31,Bachelor's Degree,Male
38,Bachelor's Degree,Male
42,Bachelor's Degree,Male
42,Doctorate,Male
39,Doctorate,Male
43,Master's Degree,Female
32,Doctorate,Male
31,Grade School,Male
33,Bachelor's Degree,Female
38,Master's Degree,Female
37,Doctorate,Male
37,Doctorate,Male
33,Master's Degree,Male
29,Associate's Degree,Female
37,Bachelor's Degree,Male
41,Associate's Degree,Male
41,Master's Degree,Male
31,High School,NULL
30,Bachelor's Degree,Male
34,Bachelor's Degree,Male
48,Master's Degree,Male
37,Bachelor's Degree,Male
31,Some College,Male
23,Bachelor's Degree,Male
42,Associate's Degree,Male
29,Bachelor's Degree,Male
33,Bachelor's Degree,Male
37,Bachelor's Degree,Male
41,Bachelor's Degree,Male
46,Bachelor's Degree,Male
22,Bachelor's Degree,Male
40,Bachelor's Degree,Male
28,Bachelor's Degree,Male
40,Bachelor's Degree,Male
47,Doctorate,Male
37,Post-Doc,Male
29,Bachelor's Degree,Male
33,Master's Degree,Male
41,Post-Doc,Female
27,High School,Male
37,Bachelor's Degree,Female
27,Doctorate,Male
35,Bachelor's Degree,Female
29,Master's Degree,Male
34,Doctorate,NULL
35,Doctorate,Male
40,Doctorate,Male
28,Post-Doc,Male
36,Bachelor's Degree,Female
28,Master's Degree,Male
33,Bachelor's Degree,Male
35,Master's Degree,Male
35,Associate's Degree,Female
41,Some College,Male
36,Bachelor's Degree,Male
31,Doctorate,Male
32,Doctorate,Male
30,Bachelor's Degree,Male
29,Some College,Female
35,Bachelor's Degree,Male
27,Bachelor's Degree,Female
32,Some College,Male
27,Doctorate,Male
22,Master's Degree,Male
29,Master's Degree,Male
41,Post-Doc,Male
34,Bachelor's Degree,Male
56,Doctorate,Male
33,Bachelor's Degree,Male
42,Post-Doc,Male
33,Bachelor's Degree,Male
38,Master's Degree,Female
30,Bachelor's Degree,Female
44,Doctorate,Male
32,Master's Degree,Male
26,Bachelor's Degree,Male
32,Bachelor's Degree,Male
47,Master's Degree,Male
35,Bachelor's Degree,Male
26,Doctorate,Male
39,Some College,Male
45,Post-Doc,Male
34,Associate's Degree,Male
45,Bachelor's Degree,Male
41,Doctorate,Female
46,Some College,Male
26,Bachelor's Degree,Male
49,Master's Degree,Male
38,Associate's Degree,Male
32,Bachelor's Degree,Female
35,Master's Degree,Female
30,Bachelor's Degree,Male
38,Bachelor's Degree,Male
30,Bachelor's Degree,Male
55,Doctorate,Male
32,Master's Degree,Male
55,Bachelor's Degree,Male
29,Master's Degree,Female
32,Master's Degree,Male
29,Associate's Degree,Female
32,Bachelor's Degree,Male
50,Doctorate,Male
37,Bachelor's Degree,Male
31,Bachelor's Degree,Male
40,Master's Degree,Male
50,Master's Degree,Male
29,Bachelor's Degree,Male
28,Master's Degree,Female
30,Master's Degree,Male
22,Bachelor's Degree,Male
23,Master's Degree,Female
38,Doctorate,Male
32,Bachelor's Degree,Male
29,Bachelor's Degree,Female
24,Bachelor's Degree,Male
27,Bachelor's Degree,Male
42,Grade School,Male
32,Bachelor's Degree,Female
27,Master's Degree,Male
39,Bachelor's Degree,Male
25,Master's Degree,Male
42,Master's Degree,Male
39,Bachelor's Degree,Male
21,Bachelor's Degree,Male
33,Master's Degree,Male
44,Bachelor's Degree,Male
32,Bachelor's Degree,Male
28,Bachelor's Degree,Male
43,Master's Degree,Female
27,Bachelor's Degree,Male
27,Bachelor's Degree,Male
29,Bachelor's Degree,Male
30,Bachelor's Degree,Female
44,Master's Degree,Female
39,Doctorate,Male
27,Bachelor's Degree,Male
28,Master's Degree,Male
37,Doctorate,Male
39,Master's Degree,Male
22,Bachelor's Degree,Male
36,Bachelor's Degree,Male
43,Bachelor's Degree,Male
29,Bachelor's Degree,Male
22,Master's Degree,Male
45,Master's Degree,Male
27,Some College,Male
31,Bachelor's Degree,Male
28,Master's Degree,Male
45,High School,Male
26,Bachelor's Degree,Female
25,Some College,Male
34,Master's Degree,Male
46,Doctorate,Male
42,Master's Degree,Female
32,Bachelor's Degree,Male
30,Bachelor's Degree,Male
30,Bachelor's Degree,Male
37,Bachelor's Degree,Male
35,Bachelor's Degree,Male
38,Bachelor's Degree,Male
27,Bachelor's Degree,Male
24,Bachelor's Degree,Male
22,Master's Degree,Male
31,Bachelor's Degree,Male
33,Master's Degree,Female
26,Bachelor's Degree,Male
25,Master's Degree,Female
51,Bachelor's Degree,Male
57,Bachelor's Degree,Male
23,Master's Degree,Male
37,Bachelor's Degree,Male
33,Bachelor's Degree,Male
29,Bachelor's Degree,Male
36,Master's Degree,Male
45,Bachelor's Degree,Male
27,Bachelor's Degree,Male
29,Master's Degree,Male
30,Master's Degree,Female
31,Bachelor's Degree,Female
NULL,Post-Doc,Male
24,Master's Degree,Male
29,Bachelor's Degree,Male
31,Master's Degree,Male
23,Bachelor's Degree,Male
